"Day","Total Commercial","US <-> US","US <-> NON US","US <-> Europe","US <-> Latin America","US <-> Asia","US <-> China","Canada <-> Canada","Canada <-> NON Canada","Europe <-> Europe","Europe <-> NON Europe","Europe <-> UK","Europe <-> Asia","Europe <-> Latin America","UK <-> UK","UK <-> NON UK","Italy <-> Italy","Italy <-> NON Italy","China <-> China","China <-> NON China","Brazil <-> Brazil","Brazil <-> NON Brazil","India <-> India","India <-> NON India","Iran <-> Iran","Iran <-> NON Iran"
"2019-02-22","105517","26911","5569","844","2388","658","135","2766","1983","19821","6421","3249","1771","400","787","4210","680","2284","10399","2749","2230","459","2487","1276","123","175"
"2019-02-21","103135","26671","5403","834","2366","653","137","2706","1812","18613","6164","3140","1688","367","803","4111","612","2066","10321","2661","2296","479","2417","1182","119","176"
"2019-02-20","99205","24795","5095","745","2299","647","136","2674","1663","17791","5780","2878","1639","358","714","3736","607","1979","10359","2724","2228","438","2438","1159","122","177"
"2019-02-19","99594","26669","5192","743","2260","619","130","2729","1833","17203","5781","2827","1603","366","723","3787","619","1936","9843","2595","2230","450","2420","1144","143","159"
"2019-02-18","100655","24825","5360","809","2403","617","133","2594","1839","19039","5871","3263","1602","381","782","4191","684","2161","10153","2612","2320","441","2527","1123","116","167"
"2019-02-17","94637","20619","5179","832","2404","621","133","1967","1728","17967","6427","3288","1692","406","627","4265","575","2172","10310","2644","1841","468","2575","1185","127","178"
"2019-02-16","93594","22379","5694","838","2776","655","141","1987","1878","15371","6787","3061","1751","416","432","4127","520","2002","10387","2656","1840","503","2429","1211","131","162"
"2019-02-15","105848","27412","5584","826","2484","648","136","2633","1926","19687","6390","3323","1739","393","757","4301","667","2193","10426","2794","2301","468","2587","1216","139","177"
"2019-02-14","103122","27059","5400","829","2352","634","131","2720","1816","18487","6119","3109","1676","359","756","4098","643","2045","9976","2702","2290","465","2451","1149","125","182"
"2019-02-13","97284","23934","4818","714","2143","598","121","1936","1502","17227","5602","2791","1626","350","692","3645","630","1884","10344","2730","2225","466","2688","1175","114","178"
"2019-02-12","96718","24067","4565","716","2092","579","119","2143","1432","17159","5658","2774","1598","354","702","3695","614","1882","10597","2691","2249","454","2448","1104","118","185"
"2019-02-11","92617","19362","4691","714","2052","585","114","2132","1567","17941","6117","3148","1815","364","764","4051","543","1987","9485","2979","2161","416","2698","1316","129","189"
"2019-02-10","87232","23782","5259","895","2385","553","111","1512","1853","15387","5911","2928","1392","405","434","3879","508","1967","8977","2248","1566","471","2357","915","108","142"
"2019-02-09","91779","21242","5421","798","2660","633","131","1895","1748","14717","6659","2846","1717","421","398","3843","524","1951","10552","2639","1835","489","2478","1181","132","165"
"2019-02-08","103899","26262","5339","823","2337","601","120","2399","1839","19311","6267","3202","1689","401","764","4134","708","2196","10439","2694","2314","477","2742","1204","120","159"
"2019-02-07","100348","25596","5183","796","2302","607","118","2427","1704","17852","5980","2973","1637","366","743","3929","625","1944","10157","2583","2210","492","2521","1148","116","179"
"2019-02-06","98628","24667","4971","749","2215","613","124","2339","1542","17413","5762","2700","1598","364","661","3562","614","1852","9895","2742","2235","478","2637","1124","120","178"
"2019-02-05","96971","25121","4846","700","2094","593","110","2558","1723","16712","5697","2596","1575","380","606","3476","595","1818","9200","2643","2253","453","2586","1111","130","172"
"2019-02-04","96969","23917","5141","787","2275","598","113","2293","1761","18252","5853","3012","1598","379","729","3888","586","1919","8642","2551","2283","455","2627","1085","111","166"
"2019-02-03","92754","19623","5032","813","2305","630","136","1904","1674","16945","6431","3062","1734","404","612","4018","587","2052","10268","2723","1971","500","2705","1151","117","172"
"2019-02-02","92430","21123","5495","789","2694","685","154","1947","1809","14601","6729","2719","1781","407","407","3718","527","1854","10233","2877","1957","505","2672","1226","136","169"
"2019-02-01","103519","25903","5390","819","2358","681","148","2524","1875","18834","6343","2926","1771","397","715","3854","659","2097","10227","2913","2328","480","2762","1210","147","153"
"2019-01-31","100111","24420","5133","798","2267","664","147","2711","1660","17778","6123","2775","1716","368","678","3719","622","1884","10230","2730","2359","506","2692","1198","120","166"
"2019-01-30","97578","23193","4941","717","2185","669","144","2781","1624","16964","5778","2547","1665","354","626","3382","612","1763","10255","2834","2291","468","2670","1181","124","175"
"2019-01-29","97231","24539","4773","716","2093","635","137","2598","1557","16563","5786","2499","1645","375","597","3380","575","1753","10178","2697","2287","479","2622","1142","104","173"
"2019-01-28","98558","23335","5066","805","2284","659","147","2583","1591","18208","5897","2921","1590","378","709","3818","632","2005","10296","2686","2358","470","2758","1118","116","154"
"2019-01-27","94474","21300","5130","821","2317","646","143","2089","1788","17081","6454","2954","1705","413","555","3886","572","2084","10268","2731","2034","502","2707","1180","127","159"
"2019-01-26","91236","21807","5549","809","2686","686","156","2025","1769","14008","6707","2589","1743","409","364","3588","467","1782","10024","2713","1938","537","2582","1222","132","152"
"2019-01-25","94105","26213","5400","822","2332","644","141","2823","1853","17140","5894","2564","1691","387","702","3466","604","1943","7721","2341","2244","465","2316","1134","97","141"
"2019-01-24","99879","26264","5155","805","2195","667","140","2777","1710","17449","5979","2568","1702","356","744","3495","634","1872","9799","2604","2288","495","2695","1180","154","153"
"2019-01-23","101317","24508","5033","751","2234","656","145","2716","1642","17577","5916","2549","1676","358","706","3387","634","1836","11320","2856","2402","473","2753","1228","137","179"
"2019-01-22","99906","24966","4940","726","2137","636","136","2865","1683","16571","5879","2326","1645","373","656","3215","636","1750","11165","2805","2417","476","2638","1182","145","163"
"2019-01-21","101095","23740","5223","819","2301","637","143","2564","1769","18542","6140","2804","1613","375","812","3700","683","2019","11037","2727","2410","458","2711","1140","135","157"
"2019-01-20","92746","18125","4879","808","2238","655","144","1755","1598","17686","6534","3015","1754","399","637","3955","616","2120","10823","2772","2115","494","2691","1191","137","171"
"2019-01-19","91607","19982","5399","812","2627","682","155","1976","1697","14340","6861","2584","1801","403","372","3572","531","1856","10761","2767","2060","527","2744","1267","139","164"
"2019-01-18","106673","26915","5565","825","2451","670","149","2810","1924","19570","6487","3037","1779","393","814","3962","721","2151","10869","2908","2422","485","2617","1261","128","167"
"2019-01-17","103992","26618","5416","798","2362","670","143","2853","1837","18275","6162","2782","1707","379","809","3741","668","1914","10575","2712","2438","490","2809","1228","130","164"
"2019-01-16","93392","25014","5563","745","2274","663","118","2698","1799","15970","5767","2440","1641","352","677","3288","615","1753","8123","2715","2144","462","2669","1212","140","175"
"2019-01-15","88061","24382","5537","732","2104","658","107","2312","1602","13998","5673","2283","1626","344","611","3182","585","1622","7984","2646","1788","447","2612","1148","133","166"
"2019-01-14","89936","23413","5800","770","2261","668","122","2222","1715","16351","5648","2704","1559","353","679","3562","632","1896","7943","2615","1824","418","2666","1137","133","173"
"2019-01-13","84556","19528","5577","777","2115","627","116","1744","1629","15879","5961","2709","1623","357","600","3600","592","1915","7531","2553","1593","421","2702","1134","126","197"
"2019-01-12","82145","20362","6052","775","2464","685","132","1729","1706","13033","6115","2319","1657","346","383","3244","497","1647","7534","2479","1624","436","2675","1190","134","170"
"2019-01-11","92436","25010","6140","785","2190","674","110","2385","1763","16524","5801","2680","1634","330","827","3550","564","1661","7574","2581","1848","416","2782","1139","137","168"
"2019-01-10","91300","25171","6078","782","2218","663","108","2403","1738","15527","5657","2365","1566","319","717","3267","640","1750","7731","2423","1788","423","2701","1130","145","148"
"2019-01-09","89994","23925","6087","756","2265","678","110","2286","1769","15884","5565","2387","1568","311","678","3232","641","1764","7675","2470","1829","417","2699","1136","149","176"
"2019-01-08","89518","24530","5675","742","2082","630","106","2438","1645","15369","5534","2323","1524","316","623","3194","625","1701","7715","2400","1800","386","2633","1097","148","175"
"2019-01-07","91618","24092","5715","797","2186","627","111","2291","1718","17375","5515","2791","1469","322","744","3652","699","1954","7729","2407","1801","423","2672","1091","149","166"
"2019-01-06","89284","21864","6169","857","2443","649","111","1822","1735","16810","6380","2999","1656","374","597","3954","646","2129","7703","2521","1574","438","2639","1157","145","184"
"2019-01-05","87306","22388","6595","806","2988","681","128","1889","1794","14396","6594","2654","1697","375","483","3670","568","1926","7418","2523","1523","469","2541","1155","133","175"
"2019-01-04","93751","25139","6237","805","2616","645","106","2361","1736","17279","6116","2939","1654","343","800","3899","646","2052","7456","2538","1775","414","2586","1170","143","165"
"2019-01-03","94304","25708","6303","808","2656","661","132","2455","1686","16610","6305","2958","1645","362","704","3981","593","2058","7847","2528","1790","439","2558","1201","135","145"
"2019-01-02","92792","24938","6241","784","2765","651","124","2250","1669","16446","6198","2878","1648","352","635","3831","585","2064","7767","2581","1744","431","2664","1178","145","165"
"2019-01-01","90148","22615","5386","740","2291","648","118","2213","1598","15160","5579","2480","1609","338","539","3317","572","1827","8919","2616","1724","380","2766","1161","131","185"
